,title,abstract,paragraph
0,Massachusetts Attorney General Election Results,See full results and maps from the 2022 Massachusetts elections.,See full results and maps from the 2022 Massachusetts elections.
1,Oklahoma Attorney General Election Results,See full results and maps from the 2022 Oklahoma elections.,See full results and maps from the 2022 Oklahoma elections.
2,Kansas Attorney General Election Results,See full results and maps from the 2022 Kansas elections.,See full results and maps from the 2022 Kansas elections.
3,Georgia Attorney General Election Results,See full results and maps from the 2022 Georgia elections.,See full results and maps from the 2022 Georgia elections.
4,Maryland Attorney General Election Results,See full results and maps from the 2022 Maryland elections.,See full results and maps from the 2022 Maryland elections.
5,Michigan Attorney General Election Results,See full results and maps from the 2022 Michigan elections.,See full results and maps from the 2022 Michigan elections.
6,Texas Attorney General Election Results,See full results and maps from the 2022 Texas elections.,See full results and maps from the 2022 Texas elections.
7,South Carolina Election Results,See full results and maps from the 2022 South Carolina elections.,See full results and maps from the 2022 South Carolina elections.
8,Minnesota Attorney General Election Results,See full results and maps from the 2022 Minnesota elections.,See full results and maps from the 2022 Minnesota elections.
9,Vermont Attorney General Election Results,See full results and maps from the 2022 Vermont elections.,See full results and maps from the 2022 Vermont elections.
